Date,Region,Food_Item,Historical_Price,Rainfall,Temperature,Inflation_Rate,Fuel_Cost,Supply,Demand
2015-01-31,West,Rice,81.25,248.0,32.0,6.4,105.74,679,606
2015-01-31,North,Vegetables,12.62,75.8,24.6,6.25,71.45,1481,499
2015-01-31,East,Fruits,63.92,51.4,23.9,6.72,105.75,1293,400
2015-01-31,North,Rice,90.9,256.6,32.2,5.52,96.06,1724,778
2015-01-31,South,Wheat,42.6,150.5,18.3,5.66,112.39,1297,1004
2015-01-31,North,Vegetables,72.25,45.7,26.3,1.95,81.67,1686,1512
2015-01-31,North,Rice,82.72,158.6,30.6,2.2,94.25,880,1558
2015-01-31,East,Wheat,21.45,13.4,32.1,8.04,116.7,855,918
2015-01-31,West,Fruits,77.46,216.9,28.7,6.13,82.11,1216,1786
2015-01-31,West,Fruits,21.68,115.0,17.0,1.92,64.05,562,1027
2015-01-31,West,Wheat,18.37,85.0,23.1,9.16,63.65,1502,1404
2015-01-31,South,Wheat,40.32,87.4,35.9,4.55,109.46,1855,1133
2015-01-31,North,Wheat,91.32,76.5,33.5,5.39,51.1,1078,591
2015-01-31,North,Vegetables,60.2,44.5,16.2,8.43,80.47,1318,632
2015-02-28,East,Wheat,46.85,12.7,30.0,7.02,86.89,1648,348
2015-02-28,North,Rice,89.13,263.2,34.3,5.3,100.22,1256,1470
2015-02-28,South,Rice,58.58,221.1,33.8,7.35,97.1,1330,513
2015-02-28,South,Rice,17.99,126.7,28.0,9.21,51.75,820,1092
2015-02-28,East,Rice,14.85,67.5,26.0,9.32,63.97,1241,1719
2015-02-28,North,Rice,38.52,270.7,27.8,5.3,63.46,1943,1384
2015-02-28,South,Fruits,93.55,186.6,30.5,2.04,81.48,668,593
2015-02-28,South,Vegetables,61.76,273.3,28.9,2.19,51.03,1493,1781
2015-02-28,South,Rice,71.54,30.9,30.9,7.49,53.12,518,988
2015-02-28,West,Rice,29.66,236.8,30.0,3.07,104.64,1575,1688
2015-02-28,West,Fruits,88.68,242.8,25.6,6.65,63.93,1294,1019
2015-02-28,North,Fruits,26.05,245.4,18.3,5.52,80.09,764,588
2015-03-31,North,Rice,97.26,192.8,22.9,9.86,78.41,1398,1682
2015-03-31,South,Rice,12.77,118.8,15.8,2.47,52.13,1324,712
2015-03-31,South,Vegetables,44.28,257.7,31.9,1.79,69.87,813,529
2015-03-31,East,Rice,10.94,165.6,34.8,5.53,83.82,1565,584
2015-03-31,South,Vegetables,23.43,69.1,17.9,3.52,115.83,1478,1799
2015-03-31,North,Fruits,29.44,247.8,15.3,8.67,85.25,591,1430
2015-03-31,West,Rice,70.84,297.7,23.3,7.35,74.17,1585,899
2015-03-31,West,Wheat,19.11,280.1,16.5,5.63,117.22,1619,690
2015-03-31,North,Wheat,50.17,171.5,39.7,8.84,73.37,1248,368
2015-03-31,North,Vegetables,53.79,226.1,25.5,8.46,65.45,500,1132
2015-03-31,North,Vegetables,76.75,28.5,22.9,4.71,110.83,1091,1293
2015-04-30,North,Vegetables,49.91,240.0,16.5,7.43,117.41,710,802
2015-04-30,South,Fruits,93.95,72.6,20.3,8.77,83.85,583,1664
2015-04-30,North,Wheat,82.67,23.0,18.0,1.89,56.29,548,1046
2015-04-30,West,Vegetables,52.49,242.6,33.2,2.61,58.79,584,303
2015-04-30,North,Wheat,22.53,9.4,24.1,9.2,64.57,1309,1119
2015-04-30,North,Wheat,71.36,262.6,35.4,9.39,50.11,805,793
2015-04-30,South,Wheat,24.56,194.3,18.1,5.29,73.0,1753,1411
2015-04-30,North,Fruits,46.38,162.5,19.9,7.12,97.04,1439,323
2015-04-30,North,Vegetables,50.86,239.9,18.8,6.33,85.13,824,354
2015-04-30,North,Fruits,74.78,197.4,24.3,1.87,113.88,1139,1135
2015-04-30,North,Rice,80.31,41.1,38.6,4.85,110.8,963,1506
2015-05-31,North,Rice,74.58,62.2,20.7,1.58,66.62,1874,559
2015-05-31,East,Rice,59.03,259.1,28.0,7.84,52.3,875,1217
2015-05-31,North,Vegetables,35.61,182.5,34.8,3.26,50.95,1738,1424
2015-05-31,West,Rice,12.75,124.9,21.9,4.95,87.6,1536,1674
2015-05-31,South,Rice,52.01,175.3,31.4,8.76,94.09,1763,846
2015-05-31,South,Fruits,46.43,159.2,16.5,3.77,53.83,1215,636
2015-05-31,South,Rice,87.82,124.7,38.7,8.98,66.75,667,763
2015-05-31,East,Fruits,56.82,25.3,31.8,4.12,80.02,1891,1256
2015-05-31,North,Vegetables,24.28,279.7,25.0,7.75,103.84,1920,596
2015-05-31,South,Fruits,19.08,0.9,35.2,5.56,69.96,1680,457
2015-06-30,South,Wheat,24.94,245.2,30.8,6.55,68.73,851,772
2015-06-30,South,Rice,87.56,295.0,21.8,8.17,90.7,1172,566
2015-06-30,South,Wheat,48.6,294.6,23.7,1.76,95.01,1449,1334
2015-06-30,South,Rice,53.14,251.5,36.4,9.8,114.48,1566,1403
2015-06-30,East,Vegetables,46.12,297.5,37.6,3.01,95.92,1788,849
2015-06-30,South,Wheat,85.47,132.9,30.8,2.07,63.87,1574,1619
2015-06-30,South,Vegetables,44.88,106.5,21.2,1.19,64.92,1199,327
2015-06-30,East,Rice,13.42,205.7,32.5,3.03,102.76,1038,1564
2015-07-31,East,Rice,70.38,14.6,39.9,9.57,99.54,1277,601
2015-07-31,North,Rice,29.55,124.8,20.3,2.81,109.86,1577,865
2015-07-31,East,Wheat,77.44,277.7,27.3,2.23,53.88,1633,1192
2015-07-31,East,Vegetables,55.88,124.7,31.2,7.09,103.15,627,673
2015-07-31,West,Vegetables,15.8,93.3,23.4,1.7,50.28,1943,886
2015-07-31,North,Rice,25.92,61.5,22.4,3.11,85.74,925,1598
2015-07-31,South,Wheat,98.17,130.6,32.4,4.56,73.9,644,1292
2015-08-31,South,Fruits,26.91,206.1,24.6,2.91,96.35,1473,1746
2015-08-31,West,Rice,61.05,219.7,18.4,9.59,53.31,1916,1619
2015-08-31,West,Wheat,34.88,199.5,30.6,3.26,82.38,1905,1520
2015-08-31,North,Fruits,81.46,166.0,27.8,8.53,113.58,1369,1748
2015-08-31,East,Wheat,29.08,25.6,19.7,3.76,52.31,1580,1113
2015-08-31,North,Wheat,66.99,213.0,19.1,5.62,108.8,1348,1211
2015-08-31,East,Wheat,28.8,93.7,29.5,1.43,101.47,981,1144
2015-08-31,South,Rice,60.9,201.3,21.2,5.78,98.24,1882,772
2015-08-31,North,Vegetables,38.19,211.8,39.2,7.87,59.61,1158,1189
2015-08-31,South,Rice,69.88,117.2,17.9,7.42,56.61,1954,369
2015-08-31,West,Rice,69.02,201.5,26.2,8.89,58.72,886,1750
2015-08-31,South,Vegetables,49.17,167.7,20.5,4.0,118.8,1030,386
2015-09-30,South,Vegetables,50.55,249.4,23.1,1.45,73.95,1163,580
2015-09-30,North,Rice,33.88,87.3,39.6,5.31,57.51,1086,760
2015-09-30,South,Wheat,55.91,66.1,26.5,8.85,50.34,1361,1410
2015-09-30,West,Wheat,95.86,105.1,30.4,4.53,96.81,1575,1068
2015-09-30,North,Vegetables,10.26,153.2,16.0,5.11,106.27,1675,1661
2015-09-30,North,Rice,45.19,118.4,38.2,9.4,54.96,697,900
2015-09-30,North,Vegetables,58.83,174.7,30.5,3.24,109.72,1759,1768
2015-09-30,West,Fruits,87.36,288.7,24.8,8.73,50.26,649,1148
2015-09-30,South,Rice,53.04,154.4,35.9,6.33,102.7,1417,1288
2015-09-30,East,Wheat,98.18,99.9,21.3,2.98,91.17,1512,306
2015-10-31,South,Fruits,70.96,284.8,21.8,1.81,92.27,1037,1693
2015-10-31,West,Vegetables,16.54,282.8,37.3,3.72,50.7,1840,796
2015-10-31,North,Rice,20.16,132.5,15.5,8.72,69.83,894,1269
2015-10-31,East,Wheat,16.17,2.4,36.5,2.09,84.94,1815,1188
2015-10-31,East,Vegetables,35.68,226.2,30.7,3.8,65.09,1036,1460
2015-11-30,East,Wheat,29.87,142.0,21.8,7.78,66.58,1808,663
2015-11-30,South,Rice,23.64,88.7,22.9,7.41,99.08,1044,1710
2015-11-30,West,Fruits,78.28,60.2,21.9,6.23,62.71,814,431
2015-11-30,South,Wheat,28.66,292.3,26.5,8.84,97.96,1567,1718
